slug,period
fibra_danhos,2026-1T
fibra_exi,2021-3T
fibra_exi,2021-4T
fibra_exi,2022-1T
fibra_exi,2022-2T
fibra_exi,2022-3T
fibra_exi,2022-4T
fibra_exi,2023-1T
fibra_exi,2023-2T
fibra_exi,2023-3T
fibra_exi,2023-4T
fibra_exi,2024-1T
fibra_exi,2024-2T
fibra_exi,2024-3T
fibra_exi,2024-4T
fibra_exi,2025-1T
fibra_exi,2025-2T
fibra_exi,2025-3T
fibra_exi,2025-4T
fibra_exi,2026-1T
fibra_hd,2021-2T
fibra_hd,2021-3T
fibra_hd,2021-4T
fibra_hd,2022-1T
fibra_hd,2022-2T
fibra_hd,2022-3T
fibra_hd,2022-4T
fibra_hd,2023-1T
fibra_hd,2023-2T
fibra_hd,2023-3T
fibra_hd,2023-4T
fibra_hd,2024-1T
fibra_hd,2024-2T
fibra_hd,2024-3T
fibra_hd,2024-4T
fibra_hd,2025-1T
fibra_hd,2025-2T
fibra_hd,2025-3T
fibra_hd,2025-4T
fibra_hd,2026-1T
fibra_hotel,2021-2T
fibra_hotel,2021-3T
fibra_hotel,2021-4T
fibra_hotel,2022-1T
fibra_hotel,2022-2T
fibra_hotel,2022-3T
fibra_hotel,2022-4T
fibra_hotel,2023-1T
fibra_hotel,2023-2T
fibra_hotel,2023-3T
fibra_hotel,2023-4T
fibra_hotel,2024-1T
fibra_hotel,2024-2T
fibra_hotel,2024-3T
fibra_hotel,2024-4T
fibra_hotel,2025-1T
fibra_hotel,2025-2T
fibra_hotel,2025-3T
fibra_hotel,2025-4T
fibra_hotel,2026-1T
fibra_ideal,2020-2T
fibra_ideal,2020-3T
fibra_ideal,2020-4T
fibra_ideal,2021-1T
fibra_ideal,2021-2T
fibra_ideal,2021-3T
fibra_ideal,2021-4T
fibra_ideal,2022-1T
fibra_ideal,2022-2T
fibra_ideal,2022-3T
fibra_ideal,2022-4T
fibra_ideal,2023-1T
fibra_ideal,2023-2T
fibra_ideal,2023-3T
fibra_ideal,2023-4T
fibra_ideal,2024-1T
fibra_ideal,2024-2T
fibra_ideal,2024-3T
fibra_ideal,2024-4T
fibra_ideal,2025-1T
fibra_ideal,2025-2T
fibra_ideal,2025-3T
fibra_ideal,2025-4T
fibra_ideal,2026-1T
fibra_inn,2021-2T
fibra_inn,2021-3T
fibra_inn,2021-4T
fibra_inn,2022-1T
fibra_inn,2022-2T
fibra_inn,2022-3T
fibra_inn,2022-4T
fibra_inn,2023-1T
fibra_inn,2023-2T
fibra_inn,2023-3T
fibra_inn,2023-4T
fibra_inn,2024-1T
fibra_inn,2024-2T
fibra_inn,2024-3T
fibra_inn,2024-4T
fibra_inn,2025-1T
fibra_inn,2025-2T
fibra_inn,2025-3T
fibra_inn,2025-4T
fibra_inn,2026-1T
fibra_macquarie,2021-2T
fibra_macquarie,2021-3T
fibra_macquarie,2021-4T
fibra_macquarie,2022-1T
fibra_macquarie,2022-2T
fibra_macquarie,2022-3T
fibra_macquarie,2022-4T
fibra_macquarie,2023-1T
fibra_macquarie,2023-2T
